Date,Open,High,Low,Close,Volume
29-08-1994,2.2356,2.2648,2.2208,2.2231,56625600
30-08-1994,2.2208,2.2792,2.2064,2.2745,39851200
31-08-1994,2.2745,2.3084,2.25,2.2648,60968000
01-09-1994,2.2208,2.2208,2.1721,2.1869,115568000
02-09-1994,2.2013,2.2013,2.1721,2.1818,46964800
06-09-1994,2.1771,2.1915,2.1697,2.1818,28804800
07-09-1994,2.1915,2.2523,2.1869,2.2161,43588800
08-09-1994,2.2208,2.2597,2.2208,2.2574,28377600
09-09-1994,2.1869,2.2551,2.1771,2.2161,60800000
12-09-1994,2.2258,2.2258,2.1771,2.1869,36238400
13-09-1994,2.1966,2.2551,2.1966,2.2426,41134400
14-09-1994,2.25,2.2648,2.2402,2.2453,29968000
15-09-1994,2.2453,2.2695,2.2356,2.2695,40640000
16-09-1994,2.2597,2.2648,2.211,2.2161,52921600
19-09-1994,2.2258,2.2305,2.2064,2.2161,48350400
20-09-1994,2.2161,2.2258,2.1795,2.1818,40276800
21-09-1994,2.1939,2.2356,2.1428,2.2305,82948800
22-09-1994,2.2305,2.2402,2.2064,2.2208,44320000
23-09-1994,2.2161,2.2402,2.1818,2.1818,48371200
26-09-1994,2.1818,2.1818,2.1526,2.1647,29921600
27-09-1994,2.1623,2.2013,2.1382,2.2013,50585600
28-09-1994,2.2064,2.2402,2.2013,2.2208,33355200
29-09-1994,2.2161,2.2305,2.1966,2.2013,27105600
30-09-1994,2.2013,2.2402,2.1869,2.1869,34608000
03-10-1994,2.1869,2.1966,2.1623,2.1771,28833600
04-10-1994,2.1818,2.1869,2.1382,2.1428,42622400
05-10-1994,2.1382,2.1771,2.1089,2.1623,50985600
06-10-1994,2.1623,2.1771,2.1136,2.1234,40790400
07-10-1994,2.1284,2.1382,2.0992,2.1187,51518400
10-10-1994,2.1187,2.1577,2.1187,2.1331,39480000
11-10-1994,2.1479,2.2064,2.1479,2.1744,55692800
12-10-1994,2.1771,2.2013,2.1721,2.1915,27912000
13-10-1994,2.2064,2.25,2.2064,2.2305,63033600
14-10-1994,2.2305,2.2356,2.1502,2.1795,99878400
17-10-1994,2.1818,2.1915,2.1428,2.1479,31160000
18-10-1994,2.1526,2.211,2.1452,2.2064,52686400
19-10-1994,2.2064,2.2597,2.1915,2.2453,59488000
20-10-1994,2.2695,2.333,2.2551,2.3232,136558400
21-10-1994,2.3084,2.3232,2.2745,2.3135,67099200
24-10-1994,2.3182,2.3182,2.2745,2.294,57145600
25-10-1994,2.2889,2.3279,2.2745,2.3256,44780800
26-10-1994,2.333,2.3817,2.3279,2.3766,97904000
27-10-1994,2.3817,2.4012,2.3669,2.4012,41238400
28-10-1994,2.4012,2.4304,2.3914,2.4206,58414400
31-10-1994,2.4253,2.4838,2.4156,2.4545,59932800
01-11-1994,2.4448,2.4499,2.4206,2.4448,39624000
02-11-1994,2.4448,2.4982,2.4351,2.4545,61408000
03-11-1994,2.4545,2.4643,2.4304,2.4401,63441600
04-11-1994,2.4401,2.4596,2.3887,2.3961,46947200
07-11-1994,2.3961,2.4156,2.3719,2.4109,47094400
08-11-1994,2.4109,2.4888,2.4035,2.4791,43328000
09-11-1994,2.5032,2.5176,2.4596,2.4838,60206400
10-11-1994,2.474,2.5079,2.474,2.4814,24689600
11-11-1994,2.4253,2.4425,2.3669,2.4253,132899200
14-11-1994,2.4448,2.513,2.4448,2.513,48934400
15-11-1994,2.513,2.5371,2.5032,2.5153,52544000
16-11-1994,2.5227,2.5274,2.513,2.5176,30196800
17-11-1994,2.5176,2.5227,2.4888,2.5032,33232000
18-11-1994,2.4982,2.5227,2.4935,2.4982,25694400
21-11-1994,2.513,2.5227,2.4693,2.474,35560000
22-11-1994,2.4643,2.4888,2.4109,2.4156,56358400
23-11-1994,2.4012,2.4179,2.3789,2.3961,87507200
25-11-1994,2.4058,2.4304,2.4012,2.4253,12563200
28-11-1994,2.4351,2.474,2.4253,2.4693,43449600
29-11-1994,2.4791,2.5079,2.474,2.4982,37673600
30-11-1994,2.5032,2.5032,2.4448,2.4499,40934400
01-12-1994,2.4401,2.4705,2.4351,2.4374,43096000
02-12-1994,2.4448,2.4643,2.4156,2.4643,37715200
05-12-1994,2.4693,2.5032,2.4596,2.4666,38166400
06-12-1994,2.4643,2.4982,2.4545,2.4693,38830400
07-12-1994,2.474,2.4888,2.4545,2.4545,36744000
08-12-1994,2.4596,2.4838,2.4253,2.4351,41934400
09-12-1994,2.4351,2.4643,2.4253,2.4596,79956800
12-12-1994,2.4596,2.474,2.4012,2.4596,65313600
13-12-1994,2.4693,2.474,2.4253,2.4448,30219200
14-12-1994,2.4351,2.4791,2.4351,2.4643,33641600
15-12-1994,2.4693,2.4982,2.4545,2.474,28854400
16-12-1994,2.4791,2.5032,2.4623,2.4693,54020800
19-12-1994,2.4693,2.4791,2.4351,2.4401,31507200
20-12-1994,2.4401,2.4448,2.2889,2.333,253456000
21-12-1994,2.3474,2.4012,2.3427,2.3961,69395200
22-12-1994,2.3961,2.4156,2.3474,2.3622,57355200
23-12-1994,2.3622,2.3914,2.3525,2.3719,19486400
27-12-1994,2.3766,2.4012,2.3622,2.3669,20566400
28-12-1994,2.3669,2.3766,2.3376,2.3766,34961600
29-12-1994,2.3719,2.4109,2.3622,2.4082,23446400
30-12-1994,2.4109,2.4109,2.3817,2.3817,20686400
03-01-1995,2.3961,2.3961,2.3427,2.3451,39545600
04-01-1995,2.3474,2.3669,2.3182,2.3622,51611200
05-01-1995,2.3719,2.3766,2.3135,2.3232,39824000
06-01-1995,2.333,2.3864,2.3279,2.3622,46681600
09-01-1995,2.3719,2.3766,2.3279,2.3474,46000000
10-01-1995,2.3622,2.3961,2.3571,2.3766,42184000
11-01-1995,2.3817,2.4058,2.3669,2.3914,31512000
12-01-1995,2.3864,2.4206,2.3766,2.3864,26996800
13-01-1995,2.4156,2.4545,2.4109,2.4448,41307200
16-01-1995,2.4643,2.513,2.4545,2.4982,74648000
17-01-1995,2.5227,2.5371,2.5079,2.5176,73932800
18-01-1995,2.5274,2.5422,2.5032,2.5348,50504000
19-01-1995,2.513,2.5325,2.4717,2.474,67108800
20-01-1995,2.4499,2.474,2.3864,2.4012,82388800
